Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
Vagnoni et al. (2015),Sheep's milk,Italy,0.0386,0.333333333,3.073025939,-,0,Incl,Incl,Incl,Incl,Incl,NC,-,0,0,0,0.116488742,-,-,Incl,1.024019555,0.140832259,0.060790381,0.012917956,0.05076493,-,-,45.24922078,-
Vagnoni et al. (2015),Sheep's milk,Italy,0.0386,0.333333333,3.388274423,-,Incl,Incl,Incl,Incl,Incl,Incl,NC,-,0,0,0,0.217807358,-,-,Incl,0.73643371,0.107332477,0.046144527,0.009805712,0.093356164,-,-,15.23290074,-
Udo et al. (2016),Cow's milk,Kenya,0.77,0.5,3.660657236,0,0,0,0,0,0,0,0,0,0,0,0,0.008555858,-,-,Incl,1.108764561,0.016927703,Incl,Incl,0.021702993,-,-,-,-
Udo et al. (2016),Cow's milk,Kenya,0.23,0.5,3.133324879,0,0,0,0,0,0,0,0,0,0,0,0,0.009168956,-,-,Incl,1.13059037,0.012685446,Incl,Incl,0.023258193,-,-,-,-
Udo et al. (2016),Cow's milk,Kenya,0.23,0.5,2.93336347,-,0,0,0,0,0,Incl,NC,0,0,0,0,0.00225172,-,-,Incl,1.570162383,0.013163038,Incl,Incl,0.005625131,-,-,122.1529811,1241.38547
Weiler et al. (2014),Cow's milk,Kenya,0.77,0.5,4.416923591,0,0,0,0,0,0,Incl,0,0,0,0,0,0.043306839,-,-,0,1.721108978,0.020195701,0.224016216,0.047124136,0.043818778,-,-,102.2769743,4163.334404
Rivas-García et al. (2015),Cow's milk,Mexico,1,1,2.777971006,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,Incl,1.010054148,,Incl,Incl,0.003302269,0.022507852,0.011976139,198.8222754,3245.52219
Blonk et al. (2008),Cow's milk,Netherlands,0.985114138,0.2,1.853105463,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,Incl,0,NC,Incl,-,-,Incl,0.666722712,0.184539322,0.078788136,,0.002190145,-,-,-,-
Broekema and Kramer (2014),Cow's milk,Netherlands,0.985114138,0.2,2.004258222,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.042042225,-,-,0.043278761,0.586909455,Incl,0.092224978,0.129114969,0.007973021,0.025528019,0.023242325,377.5310966,11912.54271
Thomassen et al. (2008),Cow's milk,Netherlands,0.985114138,0.2,2.753251659,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,0,0,0,0.175896286,-,-,Incl,0.801055985,,Incl,Incl,0.021426894,0.011432284,0.012456618,-,-
Thomassen et al. (2008),Cow's milk,Netherlands,0.014885862,1,3.135579323,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,0,0,0,0.373745444,-,-,Incl,1.053492578,,Incl,Incl,0.012815145,0.012713116,0.00818708,-,-
Thomassen et al. (2009),Cow's milk,Netherlands,0.985114138,0.2,2.705757336,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,0,0,0,0.274248325,-,-,Incl,0.664569322,,0.113149795,,0.011052113,0.0129871,0.013451724,-,-
van Middelaar et al. (2011),Cow's milk,Netherlands,0.985114138,0.2,2.092074367,Incl,Incl,NC,Incl,Incl,Incl,Incl,NC,0,0,0,0,0.07069228,-,-,0.06045116,0.744867376,,0.1055726,,0.007950185,-,-,-,-
Basset-Mens et al. (2009),Cow's milk,New Zealand,1,0.166666667,1.821012489,-,0.342841906,,,,,,,,,0,0,0.05911771,-,-,0.018829273,0.79066078,Incl,Incl,Incl,0,0.009275084,0.003439624,-,-
Basset-Mens et al. (2009),Cow's milk,New Zealand,1,0.166666667,1.429491828,-,0.197241292,,,,,,,,,0,0,0.000774257,-,-,0.016498917,0.634762214,Incl,Incl,Incl,0,0.005646225,0.002155756,-,-
Basset-Mens et al. (2009),Cow's milk,New Zealand,1,0.166666667,1.545013226,-,0.295861938,,,,,,,,,0,0,0.000837034,-,-,0.018736058,0.646232002,Incl,Incl,Incl,0,0.008102291,0.003027636,-,-
Basset-Mens et al. (2009),Cow's milk,New Zealand,1,0.166666667,1.710972,-,0.178505234,,,,,,,,,0,0,0.164348444,-,-,0.042319256,0.665247703,Incl,Incl,Incl,0,0.007286435,0.002912663,-,-
Flysjö et al. (2011a),Cow's milk,New Zealand,1,0.166666667,1.815125748,-,0.046915417,NC,0.012198008,0.054421883,0.00562985,Incl,NC,0.026272633,-,0,0,0.071127467,-,-,0.01688955,0.791181587,0.014037093,0.148252717,0.015951242,0,-,-,19.16964561,203.309109
Saunders and Barber (2007); Wells (2001),Cow's milk,New Zealand,1,0.166666667,1.345405061,NC,0.042018195,0.003707305,0.01744175,0.023021167,0.010035237,0,NC,0.005261343,0.010274418,0,0,0.013616017,-,-,0.006469123,0.570104949,0.014712386,0.097466241,0.039594812,0,0.006432144,-,-,-
Roer et al. (2013); Johansen et al. (2013),Cow's milk,Norway,0.15,1,2.855570031,Incl,Incl,0.1033,Incl,Incl,Incl,Incl,NC,Incl,Incl,0,0,0.367480256,-,-,Incl,0.975267696,,Incl,Incl,0.02139845,0.018553124,0.023191613,-,-
Roer et al. (2013); Johansen et al. (2013),Cow's milk,Norway,0.11,1,3.367285957,Incl,Incl,0.14462,Incl,Incl,Incl,Incl,NC,0,Incl,0,0,0.682085097,-,-,Incl,1.0080014,,Incl,Incl,0.025240674,0.020023925,0.021688942,-,-
Roer et al. (2013); Johansen et al. (2013),Cow's milk,Norway,0.12,1,3.266076661,Incl,Incl,0.19627,Incl,Incl,Incl,Incl,NC,Incl,Incl,0,0,0.53583098,-,-,Incl,1.007720424,,Incl,Incl,0.024886665,0.020432482,0.02790626,-,-
Bartl et al. (2011),Cow's milk,Peru,0.8,1,14.57705276,0,0,0,0,0,0,0,NC,0,0,0,0,0.111586492,-,-,Incl,6.207273474,,0.561536234,0.096834536,0.024569187,0.01889013,0.01855075,982.8833838,237.498434
Bartl et al. (2011),Cow's milk,Peru,0.2,1,6.074782231,0,0,0,0,0,0,0,0,0,0,0,0,0.118912174,-,-,Incl,1.049592987,,0.166217333,0.001582076,0.022788467,0.011206794,0.006220973,4233.621594,90838.07254
Doublet et al. (2013b),Cow's milk,Romania,1,1,2.413164989,-,Incl,Incl,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.040222712,-,-,Incl,0.768054823,Incl,Incl,Incl,0,0.02029614,0.013355491,-,-
Notten et al. (2011),Cow's milk,South Africa,1,0.2,2.32856316,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,0,0,0,0.013990437,-,-,0.092317115,0.466333312,0.247454574,0.108187612,,0.00025391,0.02165989,0.004859304,1349.229921,-
Notten et al. (2011),Cow's milk,South Africa,1,0.2,1.665628263,0,0,0,0,0,0,0,0,0,0,0,0,0.011084716,-,-,0.057483869,0.429979341,0.089978524,0.106290928,,0,0.016617807,0.003248718,868.7258687,-
Notten et al. (2011),Cow's milk,South Africa,1,0.2,2.585151229,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,0,0,0,0.006836561,-,-,0.209575944,0.671840597,0.025310948,0.325692345,,0.000522593,0.025052822,0.0077391,1015.104587,-
Notten et al. (2011),Cow's milk,South Africa,1,0.2,2.370166995,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,0,0,0,0.006132281,-,-,0.118694762,0.591891214,0.120832656,0.33317828,,0.002296152,0.024484314,0.0053564,556.8755569,-
Notten et al. (2011),Cow's milk,South Africa,1,0.2,2.142620364,0,0,0,0,0,0,0,0,0,0,0,0,0.015437461,-,-,0.093171398,0.633565505,0.048047593,0.255831505,,0.00550738,0.020574921,0.0049729,580.2112945,-
Del Prado et al. (2013),Cow's milk,Spain,1,0.5,2.089958043,0,0,0,0,0,0,0,0,0,0,0,0,0.1366002,-,-,0.0419398,0.716207824,,0.13429,,0.060495749,-,-,-,-
Iribarren et al. (2011),Cow's milk,Spain,1,0.5,1.543621972,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.003259845,-,-,Incl,0.506794492,,Incl,Incl,0.000233248,0.01220988,0.005359712,-,-
Cederberg and Flysjö (2004),Cow's milk,Sweden,0.872890404,0.142857143,2.044520058,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.223239027,-,-,Incl,0.6040984,0.07797084,Incl,Incl,0.005605032,0.011769829,0.005267735,-,-
Cederberg and Flysjö (2004),Cow's milk,Sweden,0.872890404,0.142857143,2.125763553,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.30335297,-,-,Incl,0.6813668,0.09377574,Incl,Incl,0.005872519,0.011401272,0.005827407,-,-
Cederberg and Flysjö (2004),Cow's milk,Sweden,0.127109596,0.333333333,2.31392324,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.417469391,-,-,Incl,0.7270254,0.07235132,Incl,Incl,0.002506994,0.012953483,0.007009032,-,-
Cederberg and Mattsson (2000),Cow's milk,Sweden,0.872890404,0.142857143,2.964656065,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.110085399,-,-,Incl,0.936901486,,Incl,Incl,0.03342467,0.021015145,0.004596184,-,-
Cederberg and Mattsson (2000),Cow's milk,Sweden,0.127109596,0.333333333,2.610048609,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.282316393,-,-,Incl,1.097382463,,Incl,Incl,0.024817726,0.018765389,0.004234514,-,-
Cederberg et al. (2007),Cow's milk,Sweden,0.872890404,0.142857143,2.509438125,NC,0,NC,Incl,0,0,0,NC,0,0,0,0,0.409946718,-,-,Incl,0.687387714,,Incl,Incl,0.024143097,0.016701548,0.004887145,-,-
Cederberg et al. (2007),Cow's milk,Sweden,0.127109596,0.333333333,2.605295349,NC,0,NC,Incl,0,0,0,NC,0,0,0,0,0.563763782,-,-,Incl,0.764321619,,Incl,Incl,0.022987459,0.018032965,0.005986001,-,-
Flysjö et al. (2011a),Cow's milk,Sweden,0.872890404,0.142857143,2.386277366,0,0,NC,Incl,0,0,Incl,NC,0,-,0,0,0.418866403,-,-,0.033741568,0.68909364,0.041447706,0.114285955,0.025034066,0.00835211,-,-,90.16867432,410.8223792
Sasu-Boakye et al. (2014),Cow's milk,Sweden,0.872890404,0.142857143,1.515234426,NC,Incl,0.000673152,Incl,0,0,Incl,Incl,0,NC,0,0,0.200094497,-,-,Incl,0.433873773,0.07656596,0.02814925,,0,-,-,-,-
Sasu-Boakye et al. (2014),Cow's milk,Sweden,0.872890404,0.142857143,1.65310919,NC,Incl,0.000759087,Incl,Incl,Incl,Incl,Incl,NC,NC,0,0,0.130582769,-,-,Incl,0.472156753,0.089326953,0.02814925,,0.002734024,-,-,-,-
Bystricky et al. (2014),Cow's milk,Switzerland,0.8871,0.333333333,1.838990301,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,0.834045646,,Incl,Incl,0.01254453,0.011086571,0.005414671,12.43548134,-
Bystricky et al. (2014),Cow's milk,Switzerland,0.8871,0.333333333,2.271212981,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,1.118038626,,Incl,Incl,0.009151239,0.016825604,0.007794073,15.71510187,-
Bystricky et al. (2014),Cow's milk,Switzerland,0.8871,0.333333333,2.21688709,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,1.115901804,,Incl,Incl,0.00882431,0.014474675,0.007448333,15.60827384,-
Schader et al. (2014),Cow's milk,Switzerland,0.1129,0.5,1.954844884,NC,0,0.20862468,,,,,NC,0,0,0,0,0.011155825,-,-,0.07363224,0.851188694,0.20750904,,,0,-,-,10.78276716,15.96938176
Schader et al. (2014),Cow's milk,Switzerland,0.1129,0.5,1.757996866,NC,0,Incl,Incl,0,0,Incl,NC,0,0,0,0,0.047067027,-,-,0.0735496,0.696441162,0.19030959,,,0.011349141,-,-,38.52054671,1256.028787
Baumgartner et al. (2008),Cow's milk,United Kingdom,0.946658739,0.142857143,2.288175359,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.100817843,-,-,Incl,0.870414783,,Incl,Incl,0.033382922,0.020757183,0.007227923,-,-
Baumgartner et al. (2008),Cow's milk,United Kingdom,0.946658739,0.142857143,2.247721252,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,NC,0.103162444,-,-,Incl,0.870414783,,Incl,Incl,0.034159269,0.020567669,0.007362526,-,-
O'Brien et al. (2014),Cow's milk,United Kingdom,0.946658739,0.142857143,1.735576238,NC,0.051503984,NC,Incl,0.020220331,,,0.007094494,0,0,0,0,0.045172935,-,-,0.074318814,0.523285805,0.164886677,0.088630065,,0.001977819,-,-,229.0732638,9758.544151
Ross et al. (2014),Cow's milk,United Kingdom,0.946658739,0.142857143,3.035076781,0,0,0,0,0,0,0,0,0,0,0,0,0.06858559,-,-,Incl,0.684745101,0.078950655,0.132849659,,0.013822493,-,-,-,-
Ross et al. (2014),Cow's milk,United Kingdom,0.946658739,0.142857143,2.714822234,0,0,0,0,0,0,0,0,0,0,0,0,0.059766167,-,-,Incl,0.583762206,0.072784601,0.112497207,,0.011923625,-,-,-,-
Ross et al. (2014),Cow's milk,United Kingdom,0.946658739,0.142857143,2.215517867,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.076804161,-,-,Incl,0.797558382,0.113936912,0.185863115,,0,-,-,-,-
Ross et al. (2014),Cow's milk,United Kingdom,0.946658739,0.142857143,2.020438013,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.064090017,-,-,Incl,0.689462003,0.108940966,0.158200072,,0,-,-,-,-
Aguirre-Villegas et al. (2015),Cow's milk,United States of America,0.95,0.166666667,1.874144881,0,0,0,0,0,0,0,0,0,0,0,0,0.118004738,-,-,0.059624657,0.567626734,0.298123285,,,0,-,-,307.5635122,11132.69266
Capper and Cady (2012),Cow's milk,United States of America,0.95,0.166666667,3.127240004,0,0,0,0,0,0,0,0,0,0,0,0,0.10406881,-,-,Incl,1.517269358,,Incl,-,0,-,-,139.0891799,-
Capper and Cady (2012),Cow's milk,United States of America,0.95,0.166666667,2.983056489,0,0,0,0,0,0,0,0,0,0,0,0,0.097305197,-,-,Incl,1.395527091,,Incl,-,0,-,-,126.0884825,-
Capper and Cady (2012),Cow's milk,United States of America,0.95,0.166666667,2.920111229,0,0,0,0,0,0,0,0,0,0,0,0,0.1029228,-,-,Incl,1.327093852,,Incl,-,0,-,-,86.97892694,-
Capper and Cady (2012),Cow's milk,United States of America,0.95,0.166666667,2.750440592,0,0,0,0,0,0,0,0,0,0,0,0,0.094294459,-,-,Incl,1.185377612,,Incl,-,0,-,-,76.92118113,-
O'Brien et al. (2014),Cow's milk,United States of America,0.05,1,1.763776273,0,0,0,0,0,0,0,0,0,0,0,0,0.069269574,-,-,0.069982983,0.518777886,0.169283223,0.156359518,,0,-,-,295.3993606,12825.01692
Phetteplace et al. (2001),Cow's milk,United States of America,0.95,0.166666667,2.172902446,NC,Incl,NC,Incl,NC,NC,NC,0,NC,NC,0,NC,0.060745242,-,-,NC,0.611528635,0.321857176,Incl,-,0.020114035,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,,,,,,Pasture Only,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voutilainen et al. (2003),Cow's cheese (Emmental),Finland,1,1,15.96235989,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,Incl,Incl,0,0,Incl,-,-,0.4098,6.737026087,,1.402814865,,0,0.053668423,-,-,-
Bystricky et al. (2014),Cow's cheese,France,0.9802509,0.125,29.55666033,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,11.31405733,,Incl,Incl,0.201362603,0.192588967,0.096938277,181.8411235,-
Bystricky et al. (2014),Cow's cheese,Germany,1,0.2,20.57970228,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,10.93967952,,Incl,Incl,0.224738301,0.211526639,0.11839219,178.6879429,-
Bystricky et al. (2014),Cow's cheese,Italy,0.943,0.076923077,18.47683961,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,7.57876864,,Incl,Incl,0.28223897,0.171887945,0.08146481,258.1226167,-
Blonk et al. (2008),Cow's cheese,Netherlands,0.985114138,0.125,11.97830252,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,Incl,0,NC,Incl,-,-,Incl,4.752384,1.315392,0.5616,,0.015629284,-,-,-,-
Broekema and Kramer (2014),Cow's cheese (Gouda),Netherlands,0.985114138,0.125,9.582239021,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.227561241,-,-,0.234254219,3.176754924,Incl,0.499184585,0.698858419,0.042881436,0.132558859,0.122307096,2006.747945,63234.37269
van Middelaar et al. (2011),Cow's cheese,Netherlands,0.985114138,0.125,11.74921397,Incl,Incl,NC,Incl,Incl,Incl,Incl,NC,0,0,0,0,0.810402155,-,-,0.4002768,4.93213248,,0.699048,,0.091139333,-,-,-,-
Basset-Mens et al. (2007); Basset-Mens et al. (2009),Cow's cheese,New Zealand,1,0.142857143,14.29870605,-,3.377472433,,,,,,,,,0,0,0.501517497,-,-,0.18549468,7.789114874,Incl,Incl,Incl,0,0.080482047,0.028461256,-,-
Doublet et al. (2013b),Cow's cheese,Romania,1,1,10.5208924,-,Incl,Incl,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.224439772,-,-,Incl,4.466875249,Incl,Incl,Incl,0,-,0.073155375,-,-
Berlin (2002),Cow's cheese,Sweden,0.872890404,0.125,16.5332511,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.708374105,-,-,Incl,6.210758949,,Incl,Incl,0.215080027,0.140917823,0.048446957,-,-
Bystricky et al. (2014),Cow's cheese,Switzerland,0.8871,1,21.80115459,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,0,Incl,-,-,Incl,11.83017216,,Incl,Incl,0.146391942,0.177201579,0.079903053,136.3090757,-
Kim et al. (2013),Cow's cheese (Cheddar),United States of America,0.95,0.125,16.07230473,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.667278902,-,-,0.439185907,4.243168285,2.811341659,0.764707741,,0.22095017,-,0.104952488,1356.8,-
Kim et al. (2013),Cow's cheese (Mozzarella),United States of America,0.95,0.125,16.49120673,-,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.658872239,-,-,0.402208659,3.885914826,2.57464081,0.70032319,,0.218166546,-,0.104632266,1325.9,-
Capper and Cady (2012),Milk for cow's cheese (Cheddar),United States of America,0.95,0.125,17.12161765,0,0,0,0,0,0,0,0,0,0,0,0,0.855980712,-,-,Incl,12.47975552,,Incl,-,0,-,-,1150.432091,-
Capper and Cady (2012),Milk for cow's cheese (Cheddar),United States of America,0.95,0.125,15.92180734,0,0,0,0,0,0,0,0,0,0,0,0,0.800349033,-,-,Incl,11.47840813,,Incl,-,0,-,-,1042.247942,-
Capper and Cady (2012),Milk for cow's cheese (Cheddar),United States of America,0.95,0.125,14.46248157,0,0,0,0,0,0,0,0,0,0,0,0,0.790354976,-,-,Incl,10.19089288,,Incl,-,0,-,-,826.5880441,-
Capper and Cady (2012),Milk for cow's cheese (Cheddar),United States of America,0.95,0.125,13.14431322,0,0,0,0,0,0,0,0,0,0,0,0,0.724097042,-,-,Incl,9.102639011,,Incl,-,0,-,-,729.6940025,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael (2011),Goat's milk,Australia,0.00047398,1,71.33407961,NC,0.311366582,0.005456698,Incl,0,0,0,NC,0,0.01591374,0,0,0.36829047,-,-,3.202893255,56.55383753,0.084249499,3.692110416,1.569146927,0,-,-,336.8130373,-
Michael (2011),Sheep's milk,Australia,0.000197492,1,57.9269763,NC,0.144368903,0.004424501,Incl,0,0,0,NC,0,0.012903474,0,0,0.274845671,-,-,4.486985512,42.59360996,0.077407748,3.392280701,1.441719298,0,-,-,265.4872504,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.08806,1,16.62703236,NC,0.245364911,NC,0.355900938,1.333704661,,,NC,NC,0,0,0,0.093453968,-,-,0.237773393,8.66023133,1.645973441,0.684309479,0.145415764,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.03094,1,15.087768,NC,0,NC,0.32832506,0,0,1.337488295,NC,0,0,0,0,0.127545732,-,-,0.227487093,8.804184227,1.477783317,0.627048719,0.133247853,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.01554,1,14.98562645,NC,0.499603487,NC,0.241442911,1.359027255,,,NC,NC,0,0,0,0.056091055,-,-,0.229296483,8.866947916,0.99686652,0.372907936,0.079242936,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.00546,1,14.28325094,NC,0,NC,0.259985249,0,0,1.373334872,NC,0,0,0,0,0.06901903,-,-,0.228488527,8.975932305,0.997545388,0.384802439,0.081770518,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0672,1,14.65643203,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,0,0,0,0.119678499,-,-,0.238144992,6.786206476,1.921399624,0.833997203,0.177224406,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0128,1,13.55262765,NC,0,NC,Incl,0,0,Incl,NC,0,0,0,0,0.110506985,-,-,0.225551859,7.551511389,1.63763862,0.720511429,0.153108679,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0364,1,12.9351073,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,0,0,0,0.132005886,-,-,0.252280764,5.63240509,1.793544115,0.781309598,0.16602829,0,-,-,-,-
Hörtenhuber et al. (2010),Cow's milk,Austria,0.0036,1,12.36926163,NC,0,NC,Incl,0,0,Incl,NC,0,0,0,0,0.117520414,-,-,0.241977,6.609353179,1.596351371,0.702173513,0.149211872,0,-,-,-,-
Mathot et al. (2014),Cow's milk,Belgium,1,0.5,20.68125942,NC,4.675206227,,,,,,,,,0,0,1.596399107,-,-,0.496585886,8.384350883,,Incl,Incl,0.238248317,0.156920892,0.088345815,-,-
Meul et al. (2014),Cow's milk,Belgium,1,0.5,15.10188165,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,0.412247631,-,-,Incl,7.450356735,,Incl,Incl,0.096376312,0.138131881,0.042791928,-,-
Cunha et al. (2016),Cow's milk,Brazil,0.195511068,0.5,22.70171199,NC,1.821820338,NC,Incl,0.59276225,0.040131517,0,NC,NC,0,0,0,0.00027756,-,-,0.037187173,5.795001191,2.765796023,0.501315022,,0.07306664,-,-,-,-
Cunha et al. (2016),Cow's milk,Brazil,0.195511068,0.5,36.92648792,NC,0.243762286,NC,Incl,0.694712277,0.27438216,0,NC,NC,0,0,0,0.001335889,-,-,0.014540629,5.664786904,2.265914762,0.441346623,,0.245403271,-,-,-,-
Olszensvski (2011),Cow's milk,Brazil,0.312895819,0.5,35.33267876,4.054894096,,,,,,,NC,NC,NC,0,0,0.000233925,-,-,Incl,8.886209616,4.690251784,0.517768338,0.104699867,0.143643856,-,-,-,-
Seó (2015),Cow's milk,Brazil,0.312895819,0.5,68.2464234,Incl,0.219625027,0.036963659,0.219625027,1.86681273,,,NC,1.001084864,4.198079359,0,NC,0.000996126,-,-,0.219625027,10.30480627,,0.658875081,0.140010955,0.624217727,-,-,-,-
Velazco-Bedoya (2015),Cow's milk,Brazil,0.16,1,46.58841905,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,NC,NC,0,NC,0.001074608,-,-,0.371780993,8.216359945,1.487123972,,Incl,0.280698264,0.228430279,0.137844785,1140.003319,2725.518672
Arsenault et al. (2009),Cow's milk,Canada,0.014339,0.9,27.34142996,0,0,0,0,0,0,0,0,0,0,0,0,1.569940469,-,-,0.810083859,7.967298187,2.129076322,0.04401115,0.178946945,0.158740337,0.172033416,0.05594797,1311.890648,41450.8907
Arsenault et al. (2009),Cow's milk,Canada,0.007721,0.9,22.72670974,NC,1.609655298,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,1.605457069,-,-,0.846456665,8.402486743,1.539897969,0.029340767,0.121319962,0.018827848,0.15058183,0.05368127,2646.11418,110650.0947
Jayasundara and Wagner-Riddle (2014),Cow's milk,Canada,0.32749,0.45,16.44248135,NC,Incl,NC,Incl,Incl,Incl,Incl,NC,-,-,0,0,0.667383785,-,-,0.251135086,6.994221347,1.975013671,0.960864679,0.251180393,0,-,-,-,-
Mc Geough et al. (2012),Cow's milk,Canada,0.37172,0.45,11.9728552,0,0,0,0,0,0,0,0,0,0,0,0,0.714895364,-,-,NC,5.089536334,0.882730964,0.561756176,,0,-,-,414.5493377,391.1496613
Samson et al. (2012),Cow's milk,Canada,1,0.1,14.06345799,-,Incl,-,Incl,Incl,Incl,Incl,-,-,-,0,0,-,-,-,0.19168756,6.256681947,1.828549303,1.468285036,,0,-,-,239.3792925,-
Vergé et al. (2007),Cow's milk,Canada,0.030664406,0.9,14.60743613,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,1.173118981,-,-,0.151415033,6.128703706,1.716037038,1.164430445,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.37172,0.45,14.35711035,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,1.018038402,-,-,0.203721944,6.083633065,1.68582603,1.175015597,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.32749,0.45,16.5714099,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,1.385761692,-,-,0.209957385,6.713637346,1.954603278,1.412810019,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.155583467,0.9,16.44579761,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,2.147306522,-,-,0.169150679,6.116273754,1.734465692,1.138220375,Incl,0,-,-,-,-
Vergé et al. (2007),Cow's milk,Canada,0.086182376,0.9,15.45653961,NC,Incl,Incl,Incl,Incl,Incl,Incl,NC,NC,NC,0,0,1.571254801,-,-,0.251500686,6.515065377,1.832362137,1.087943288,Incl,0,-,-,-,-
Wang et al. (2016a),Cow's milk,China,0.07,0.125,26.97841229,0,0,0,0,0,0,0,0,0,0,0,0,0.595243991,-,-,0.430005315,11.11133734,0.520462785,1.27014852,0.144237457,0.16681265,-,-,5216.105641,237583.9127
